movie,original_title,genres,directors,production_budget,domestic_gross,worldwide_gross,TN_year,TN_month
Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy",nm0551128,410600000.0,241063875.0,1045663875.0,2011,May
Dark Phoenix,Dark Phoenix,"Action,Adventure,Sci-Fi",nm1334526,350000000.0,42762350.0,149762350.0,2019,Jun
Avengers: Age of Ultron,Avengers: Age of Ultron,"Action,Adventure,Sci-Fi",nm0923736,330600000.0,459005868.0,1403013963.0,2015,May
Avengers: Infinity War,Avengers: Infinity War,"Action,Adventure,Sci-Fi","nm0751577,nm0751648",300000000.0,678815482.0,2048134200.0,2018,Apr
Justice League,Justice League,"Action,Adventure,Fantasy",nm0811583,300000000.0,229024295.0,655945209.0,2017,Nov
Spectre,Spectre,"Action,Adventure,Thriller",nm0005222,300000000.0,200074175.0,879620923.0,2015,Nov
The Dark Knight Rises,The Dark Knight Rises,"Action,Thriller",nm0634240,275000000.0,448139099.0,1084439099.0,2012,Jul
Solo: A Star Wars Story,Solo: A Star Wars Story,"Action,Adventure,Fantasy",nm0000165,275000000.0,213767512.0,393151347.0,2018,May
The Lone Ranger,The Lone Ranger,"Action,Adventure,Western",nm0893659,275000000.0,89302115.0,260002115.0,2013,Jul
John Carter,John Carter,"Action,Adventure,Sci-Fi",nm0004056,275000000.0,73058679.0,282778100.0,2012,Mar
Tangled,Tangled,"Adventure,Animation,Comedy","nm1977355,nm0397174",260000000.0,200821936.0,586477240.0,2010,Nov
Captain America: Civil War,Captain America: Civil War,"Action,Adventure,Sci-Fi","nm0751577,nm0751648",250000000.0,408084349.0,1140069413.0,2016,May
Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,"Action,Adventure,Fantasy",nm0811583,250000000.0,330360194.0,867500281.0,2016,Mar
The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,"Adventure,Family,Fantasy",nm0001392,250000000.0,303003568.0,1017003568.0,2012,Dec
The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,"Adventure,Fantasy",nm0001392,250000000.0,258366855.0,960366855.0,2013,Dec
The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,"Adventure,Fantasy",nm0001392,250000000.0,255119788.0,945577621.0,2014,Dec
The Fate of the Furious,The Fate of the Furious,"Action,Crime,Thriller",nm0336620,250000000.0,225764765.0,1234846267.0,2017,Apr
Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales,"Action,Adventure,Fantasy","nm1461392,nm1650283",230000000.0,172558876.0,788241137.0,2017,May
The Avengers,The Avengers,"Action,Adventure,Sci-Fi",nm0923736,225000000.0,623279547.0,1517935897.0,2012,May
Man of Steel,Man of Steel,"Action,Adventure,Sci-Fi",nm0811583,225000000.0,291045518.0,667999518.0,2013,Jun
The Amazing Spider-Man,The Amazing Spider-Man,"Action,Adventure,Sci-Fi",nm1989536,220000000.0,262030663.0,757890267.0,2012,Jul
Battleship,Battleship,"Action,Adventure,Sci-Fi",nm0000916,220000000.0,65233400.0,313477717.0,2012,May
Transformers: The Last Knight,Transformers: The Last Knight,"Action,Adventure,Sci-Fi",nm0000881,217000000.0,130168683.0,602893340.0,2017,Jun
Jurassic World,Jurassic World,"Action,Adventure,Sci-Fi",nm1119880,215000000.0,652270625.0,1648854864.0,2015,Jun
Men in Black 3,Men in Black 3,"Action,Adventure,Comedy",nm0001756,215000000.0,179020854.0,654213485.0,2012,May
Transformers: Age of Extinction,Transformers: Age of Extinction,"Action,Adventure,Sci-Fi",nm0000881,210000000.0,245439076.0,1104039076.0,2014,Jun
Robin Hood,Robin Hood,"Action,Adventure,Drama",nm0000631,210000000.0,105487148.0,322459006.0,2010,May
Robin Hood,Robin Hood,"Action,Adventure,History",nm9199495,210000000.0,105487148.0,322459006.0,2010,May
Robin Hood,Robin Hood,"Action,Adventure,Thriller",nm1163264,210000000.0,105487148.0,322459006.0,2010,May
Robin Hood,Robin Hood,"Action,Drama",nm2347483,210000000.0,105487148.0,322459006.0,2010,May
Black Panther,Black Panther,"Action,Adventure,Sci-Fi",nm3363032,200000000.0,700059566.0,1348258224.0,2018,Feb
Incredibles 2,Incredibles 2,"Action,Adventure,Animation",nm0083348,200000000.0,608581744.0,1242520711.0,2018,Jun
Finding Dory,Finding Dory,"Adventure,Animation,Comedy","nm0004056,nm0533691",200000000.0,486295561.0,1021215193.0,2016,Jun
Toy Story 3,Toy Story 3,"Adventure,Animation,Comedy",nm0881279,200000000.0,415004880.0,1068879522.0,2010,Jun
Alice in Wonderland,Alice in Wonderland,"Adventure,Family,Fantasy",nm0000318,200000000.0,334191110.0,1025491110.0,2010,Mar
Alice in Wonderland,Alice in Wonderland,Documentary,"nm2483359,nm1945428",200000000.0,334191110.0,1025491110.0,2010,Mar
Alice in Wonderland,Alice in Wonderland,"Fantasy,Musical",nm0288188,200000000.0,334191110.0,1025491110.0,2010,Mar
Skyfall,Skyfall,"Action,Adventure,Thriller",nm0005222,200000000.0,304360277.0,1110526981.0,2012,Nov
Monsters University,Monsters University,"Adventure,Animation,Comedy",nm0768959,200000000.0,268488329.0,743588329.0,2013,Jun
Oz the Great and Powerful,Oz the Great and Powerful,"Adventure,Family,Fantasy",nm0000600,200000000.0,234770996.0,490359051.0,2013,Mar
X-Men: Days of Future Past,X-Men: Days of Future Past,"Action,Adventure,Sci-Fi",nm0001741,200000000.0,233921534.0,747862775.0,2014,May
The Amazing Spider-Man 2,The Amazing Spider-Man 2,"Action,Adventure,Sci-Fi",nm1989536,200000000.0,202853933.0,708996336.0,2014,May
Cars 2,Cars 2,"Adventure,Animation,Comedy","nm0506977,nm0005124",200000000.0,191450875.0,560155383.0,2011,Jun
Fantastic Beasts: The Crimes of Grindelwald,Fantastic Beasts: The Crimes of Grindelwald,"Adventure,Family,Fantasy",nm0946734,200000000.0,159555901.0,652220086.0,2018,Nov
Green Lantern,Green Lantern,"Action,Adventure,Sci-Fi",nm0132709,200000000.0,116601172.0,219535492.0,2011,Jun
Transformers: Dark of the Moon,Transformers: Dark of the Moon,"Action,Adventure,Sci-Fi",nm0000881,195000000.0,352390543.0,1123790543.0,2011,Jun
The Mummy,The Mummy,"Action,Adventure,Fantasy",nm0476064,195000000.0,80101125.0,409953905.0,2017,Jun
Jack the Giant Slayer,Jack the Giant Slayer,"Adventure,Fantasy",nm0001741,195000000.0,65187603.0,197687603.0,2013,Mar
Star Trek Into Darkness,Star Trek Into Darkness,"Action,Adventure,Sci-Fi",nm0009190,190000000.0,228778661.0,467381584.0,2013,May
World War Z,World War Z,"Action,Adventure,Horror",nm0286975,190000000.0,202359711.0,531514650.0,2013,Jun
The Great Gatsby,The Great Gatsby,"Drama,Romance",nm0525303,190000000.0,144840419.0,351040419.0,2013,May
Pacific Rim,Pacific Rim,"Action,Adventure,Sci-Fi",nm0868219,190000000.0,101802906.0,411002906.0,2013,Jul
The Good Dinosaur,The Good Dinosaur,"Adventure,Animation,Comedy",nm0812307,187500000.0,123087120.0,333771037.0,2015,Nov
Brave,Brave,"Adventure,Animation,Comedy","nm0152312,nm0700760,nm0028764",185000000.0,237282182.0,554606532.0,2012,Jun
Brave,Brave,Drama,nm8061993,185000000.0,237282182.0,554606532.0,2012,Jun
Kong: Skull Island,Kong: Skull Island,"Action,Adventure,Fantasy",nm3611349,185000000.0,168052812.0,561072059.0,2017,Mar
Star Trek Beyond,Star Trek Beyond,"Action,Adventure,Sci-Fi",nm0510912,185000000.0,158848340.0,335802233.0,2016,Jul
Blade Runner 2049,Blade Runner 2049,"Drama,Mystery,Sci-Fi",nm0898288,185000000.0,92054159.0,259357408.0,2017,Oct
Aladdin,Aladdin,"Adventure,Comedy,Family",nm0005363,182000000.0,246734314.0,619234314.0,2019,May
Aladdin,Aladdin,Fantasy,nm1019776,182000000.0,246734314.0,619234314.0,2019,May
Thor: Ragnarok,Thor: Ragnarok,"Action,Adventure,Comedy",nm0169806,180000000.0,315058289.0,846980024.0,2017,Nov
